task_type,resources,duration,cost
Development,9,5,2652
Analysis,2,16,2021
Validation,9,14,4592
Validation,5,9,4939
Validation,1,7,4787
Development,3,12,2712
Testing,8,33,3734
Analysis,2,31,2158
Development,9,9,3480
Testing,8,5,4141
Analysis,9,5,1451
Analysis,3,17,2920
Validation,7,18,2409
Analysis,9,23,3904
Validation,6,22,4619
Validation,2,49,3385
Analysis,8,10,4140
Validation,3,21,3877
Validation,7,16,4103
Testing,8,33,3057
Development,1,42,3397
Testing,5,43,1975
Validation,4,41,1526
Development,2,34,1046
Development,3,36,2196
Development,2,10,3229
Analysis,6,42,3157
Validation,7,31,4756
Validation,7,24,513
Testing,5,43,2706
Development,5,8,3214
Validation,8,27,3132
Development,1,41,3473
Validation,7,31,982
Development,8,45,2713
Validation,5,46,1832
Testing,5,42,4425
Analysis,2,37,3358
Testing,1,34,2856
Testing,5,47,4604
Development,3,32,4375
Development,7,39,4651
Validation,3,40,743
Testing,9,38,1987
Development,4,49,529
Testing,8,24,4734
Development,5,37,2937
Testing,3,49,2460
Analysis,2,14,1941
Testing,3,21,2598
Development,8,33,3188
Testing,3,24,2119
Development,3,30,2856
Analysis,8,44,1781
Development,8,42,3302
Development,7,49,3912
Analysis,2,43,1988
Testing,7,15,2386
Testing,7,33,691
Testing,3,33,3170
Development,8,8,3590
Validation,8,35,1131
Validation,2,24,1159
Validation,9,28,1696
Testing,6,44,912
Development,1,21,512
Development,2,21,2675
Testing,4,36,3512
Validation,2,42,2189
Analysis,4,38,2019
Testing,1,25,3389
Development,5,46,3177
Development,2,35,3051
Testing,2,20,4998
Testing,3,13,3006
Validation,3,6,3155
Analysis,2,41,4285
Development,5,37,522
Analysis,8,27,2954
Testing,6,18,1657
Development,5,18,1965
Testing,5,29,4399
Analysis,3,49,2275
Analysis,8,28,1436
Analysis,6,13,2906
Validation,5,32,2232
Development,7,33,4490
Analysis,2,30,3972
Analysis,5,43,3076
Analysis,7,43,513
Analysis,2,16,3234
Validation,4,37,3126
Development,1,5,3924
Analysis,5,46,4094
Analysis,5,33,1283
Testing,1,26,2793
Validation,7,43,4403
Analysis,6,14,808
Testing,5,38,2230
Testing,6,25,1715
Validation,8,24,737
Development,2,22,504
Analysis,4,36,637
Testing,6,20,3647
Validation,5,48,3611
Validation,6,31,4867
Analysis,2,36,4653
Validation,4,7,2012
Validation,1,30,2387
Testing,2,24,2958
Development,3,46,518
Development,8,9,3263
Validation,8,38,859
Testing,2,10,847
Validation,7,34,532
Testing,1,43,4841
Validation,2,26,4980
Validation,2,38,2363
Testing,6,12,4833
Testing,4,38,1570
Validation,4,46,1637
Analysis,6,12,2250
Development,6,22,1426
Validation,4,29,3423
Testing,2,15,3815
Analysis,4,6,4480
Development,8,22,905
Validation,9,45,4202
Analysis,3,26,4067
Development,6,30,3884
Analysis,4,8,1870
Analysis,1,17,4286
Testing,1,11,1907
Testing,5,16,4706
Validation,5,42,2399
Validation,9,32,2542
Testing,8,35,2513
Development,4,16,553
Development,2,43,646
Testing,5,45,3987
Validation,1,5,2511
Development,1,10,1639
Analysis,4,23,858
Validation,7,11,4308
Analysis,9,49,4692
Analysis,9,21,4002
Analysis,6,32,1244
Development,2,37,2074
Analysis,9,7,1240
Development,2,17,4054
Development,8,34,2459
Analysis,6,11,1203
Development,2,26,643
Analysis,5,44,880
Development,6,15,947
Validation,5,12,2904
Validation,4,18,3949
Validation,8,40,966
Testing,4,41,3301
Development,3,49,3681
Development,8,11,1324
Validation,7,34,3206
Development,5,45,628
Validation,6,48,1056
Validation,1,47,1485
Analysis,4,19,4790
Testing,9,30,3863
Development,5,14,3157
Development,8,39,3027
Analysis,5,8,2272
Validation,1,29,1335
Validation,2,20,3779
Testing,6,32,1873
Testing,8,5,1965
Testing,7,27,2481
Validation,4,23,4679
Development,8,18,3131
Development,6,13,1947
Testing,2,34,967
Development,1,44,3207
Testing,1,38,3266
Analysis,5,10,3988
Analysis,2,44,4549
Analysis,3,22,3344
Validation,4,6,3346
Analysis,1,48,1806
Validation,5,42,2525
Validation,4,17,1778
Analysis,5,45,2954
Testing,6,38,1086
Development,3,19,1613
Analysis,6,20,4364
Testing,9,26,2017
Testing,7,24,4621
Development,4,36,535
Validation,4,40,778
Analysis,7,34,631
Development,1,7,1179
Testing,8,16,1933
Testing,1,18,4159
Testing,3,25,2533
Testing,1,17,4069
Development,8,34,904
Development,6,30,559
Testing,6,5,3144
Validation,2,5,4066
Development,4,28,2106
Development,9,8,4595
Validation,3,12,1913
Analysis,5,34,813
Development,6,48,3677
Testing,6,19,1493
Development,2,25,4017
Validation,6,39,2347
Testing,6,22,3927
Analysis,7,16,3547
Development,8,41,4959
Analysis,4,15,662
Validation,9,39,1217
Validation,1,9,1711
Analysis,1,13,2353
Validation,6,33,1448
Testing,6,26,2519
Development,2,5,3124
Analysis,7,26,4423
Validation,4,46,2453
Validation,4,43,2599
Validation,7,26,1387
Development,3,18,702
Validation,4,38,3939
Validation,9,15,4033
Analysis,4,43,3505
Testing,2,37,3303
Analysis,9,41,2528
Testing,1,8,1273
Testing,7,5,1117
Testing,2,17,1170
Analysis,4,39,2184
Validation,4,43,2590
Analysis,3,31,3844
Testing,9,45,3540
Analysis,5,41,1688
Testing,6,43,1978
Testing,6,11,4153
Development,8,10,855
Analysis,8,43,1823
Validation,3,29,3533
Development,2,26,2256
Testing,4,35,2012
Development,7,7,3438
Validation,8,6,3197
Development,7,26,4460
Testing,4,17,2249
Testing,9,48,4699
Development,2,39,1659
Validation,3,22,3919
Validation,1,45,2835
Validation,9,41,1116
Analysis,7,27,4482
Development,7,34,806
Validation,4,25,712
Validation,9,10,800
Analysis,7,19,3134
Analysis,7,7,881
Development,7,20,1153
Development,7,40,1192
Analysis,4,9,3230
Development,4,21,2411
Analysis,6,6,4626
Development,2,35,2958
Testing,4,28,4239
Analysis,5,43,2381
Testing,2,12,1081
Validation,8,11,959
Testing,2,22,1021
Validation,6,17,3012
Development,1,12,3682
Analysis,4,23,3697
Validation,1,18,4127
Development,6,13,750
Development,5,34,3114
Testing,6,31,987
Validation,9,38,2847
Testing,3,11,572
Development,6,41,4521
Analysis,8,13,2695
Validation,1,12,802
Development,9,22,2296
Validation,5,37,4972
Validation,4,12,4952
Testing,2,32,746
Validation,5,25,2643
Testing,9,10,2527
Analysis,7,13,3479
Development,5,37,3638
Testing,3,8,1477
Development,7,30,1453
Analysis,7,33,811
Validation,2,10,1521
Testing,5,11,3319
Testing,8,46,1853
Testing,8,34,2482
Testing,7,29,569
Testing,8,29,1565
Analysis,6,7,1456
Testing,7,8,3074
Validation,2,27,3750
Validation,1,11,918
Validation,1,49,4108
Validation,9,48,2228
Validation,8,12,4701
Testing,8,23,2910
Testing,2,49,4402
Testing,1,41,4548
Testing,6,15,2747
Analysis,7,31,4815
Testing,3,12,1968
Validation,2,33,3151
Validation,2,14,3174
Analysis,1,20,4592
Development,6,29,3034
Analysis,4,34,1704
Testing,2,23,1390
Analysis,6,9,4896
Testing,9,23,2988
Development,4,10,3368
Testing,9,45,2070
Analysis,7,45,910
Development,5,37,1911
Analysis,2,9,746
Analysis,4,32,3747
Development,9,23,2158
Analysis,2,47,2277
Development,2,19,2947
Validation,6,17,4752
Analysis,4,30,2800
Analysis,3,5,3377
Analysis,8,19,1387
Development,2,14,1451
Development,3,14,2156
Validation,6,23,2955
Validation,8,28,2484
Analysis,4,20,3996
Testing,7,43,3266
Analysis,9,46,4326
Analysis,3,23,4980
Analysis,4,20,2976
Analysis,4,10,4802
Testing,1,35,3520
Validation,6,34,4052
Analysis,2,17,4222
Analysis,4,23,4273
Analysis,9,9,2107
Development,2,47,585
Validation,9,20,908
Analysis,9,18,4718
Analysis,9,19,4172
Testing,6,38,1690
Development,7,48,4264
Development,7,42,1287
Development,3,5,2998
Testing,2,6,1978
Analysis,3,35,4732
Validation,7,31,4033
Validation,1,45,3962
Validation,6,35,643
Validation,3,8,1559
Testing,6,26,4429
Validation,9,5,1204
Testing,9,29,1671
Development,2,38,1844
Validation,2,45,1983
Testing,8,16,4337
Testing,6,49,4446
Testing,1,5,3215
Analysis,3,6,3697
Analysis,7,23,1574
Validation,3,24,2666
Development,2,24,1067
Validation,5,5,3024
Validation,7,41,1234
Development,9,18,3007
Testing,2,24,3133
Development,9,28,1098
Testing,5,49,1459
Validation,2,8,3321
Analysis,8,42,3145
Analysis,2,47,4989
Development,4,11,4761
Development,9,6,2367
Development,1,9,1323
Analysis,7,30,2476
Analysis,2,39,3591
Validation,2,46,4578
Validation,1,21,2436
Analysis,3,30,2313
Testing,8,49,2281
Analysis,6,49,2721
Analysis,2,12,4208
Analysis,3,29,3600
Validation,5,40,1338
Development,6,45,1634
Development,3,36,3372
Development,8,16,2667
Analysis,7,48,571
Development,7,8,1102
Development,9,17,4947
Development,2,45,4638
Testing,1,41,1397
Analysis,6,42,2361
Analysis,3,11,3317
Validation,5,40,4954
Development,7,15,3905
Development,6,25,701
Analysis,2,16,3031
Validation,2,13,2631
Analysis,9,41,701
Validation,2,16,4501
Analysis,7,40,823
Validation,2,32,4551
Analysis,7,47,3116
Analysis,5,41,1760
Validation,8,16,2847
Development,6,26,4036
Testing,8,22,3711
Development,9,39,2020
Validation,6,9,4157
Testing,6,42,1986
Validation,6,8,1805
Validation,7,22,2555
Testing,3,5,3365
Validation,1,32,4124
Validation,5,35,4319
Development,1,39,1381
Validation,5,45,582
Development,4,38,4129
Testing,2,14,2755
Testing,8,37,3390
Analysis,4,12,3526
Testing,9,6,2838
Analysis,7,26,3114
Testing,6,26,3873
Development,3,22,3034
Development,7,22,3358
Validation,1,24,2961
Testing,2,45,3394
Validation,6,47,3599
Development,1,22,2982
Testing,4,40,2571
Validation,2,47,1138
Validation,3,32,4610
Testing,4,28,604
Analysis,5,24,536
Testing,2,10,1939
Validation,8,9,1710
Validation,2,23,2168
Development,8,28,4279
Analysis,4,26,2901
Development,9,43,3883
Development,7,22,2434
Development,1,25,1968
Analysis,2,40,3550
Validation,6,12,4682
Analysis,2,47,1275
Validation,1,7,3979
Validation,3,45,728
Testing,2,28,1249
Analysis,7,11,2347
Development,6,30,2650
Analysis,9,11,3214
Testing,7,38,2960
Analysis,1,8,4245
Testing,8,31,1359
Analysis,3,47,910
Development,7,18,2311
Development,5,46,4800
Analysis,1,14,3424
Development,3,49,4499
Development,8,33,1299
Development,8,40,558
Validation,2,41,841
Validation,4,22,3469
Testing,8,37,4715
Validation,8,8,3676
Analysis,7,15,3662
Analysis,8,36,1999
Analysis,7,5,3242
Testing,9,24,3228
Testing,4,25,736
Testing,6,18,3974
Development,1,11,4001
Development,7,7,3967
Validation,4,35,1752
Validation,4,27,2785
Development,8,24,4599
Validation,3,20,1472
Analysis,4,24,4082
Validation,1,26,2470
Development,9,19,1263
Validation,1,35,1573
Development,6,22,2289
Testing,2,28,1876
Testing,5,20,1535
Development,3,18,500
Validation,1,11,3662
Validation,3,12,3982
Analysis,8,31,688
Testing,7,30,4236
Analysis,8,40,3749
Testing,4,47,4843
Testing,6,28,3663
Validation,7,42,4727
Validation,6,5,922
Validation,1,43,2551
Testing,3,30,2956
Validation,8,41,3063
Validation,3,40,756
Validation,3,16,3900
Testing,3,47,3700
Validation,4,46,2681
Testing,4,27,3132
Testing,3,41,764
Analysis,7,20,1368
Validation,9,26,3600
Testing,5,27,2580
Testing,1,38,2253
Development,3,22,2234
Development,4,16,2033
Validation,2,16,3246
Testing,4,7,4259
Development,6,45,815
Analysis,3,22,4898
Development,4,28,3992
Development,8,15,1538
Analysis,3,35,1017
Development,3,30,3045
Development,9,25,2449
Testing,5,26,4741
Validation,5,26,4062
Development,1,20,580
Analysis,9,13,3452
Testing,1,25,2844
Analysis,3,11,4288
Validation,8,13,851
Testing,5,14,4746
Testing,7,13,3665
Testing,9,35,623
Testing,7,10,1147
Testing,4,40,2028
Development,2,24,1821
Testing,1,11,4437
Testing,3,42,2120
Validation,8,22,834
Testing,1,17,2363
Validation,6,34,4695
Development,9,14,1372
Development,4,48,4440
Testing,4,33,1203
Validation,4,33,1447
Development,1,17,1524
Analysis,1,34,3332
Development,2,41,3968
Validation,9,15,2701
Development,2,15,3466
Validation,3,10,853
Testing,2,38,3476
Validation,3,43,1099
Analysis,4,25,4576
Development,7,12,4230
Testing,7,20,4634
Testing,7,40,3732
Analysis,9,31,3426
Analysis,8,40,4518
Validation,1,19,2798
Development,5,38,535
Validation,1,44,4479
Analysis,8,48,3949
Development,8,26,2197
Testing,9,46,3846
Testing,6,8,4042
Analysis,1,12,1120
Development,4,32,4903
Analysis,9,22,2145
Analysis,3,38,4854
Testing,9,26,2524
Analysis,2,34,3156
Development,5,48,3400
Development,7,28,749
Development,1,22,3850
Analysis,3,16,2270
Testing,4,36,852
Testing,1,36,3560
Analysis,3,47,2273
Testing,1,32,2427
Development,6,22,2947
Testing,3,41,3159
Analysis,4,15,2910
Development,3,34,2002
Validation,5,47,2269
Analysis,3,36,3193
Analysis,1,39,2513
Development,1,19,2454
Testing,9,39,1566
Development,8,42,4939
Development,8,5,3075
Analysis,9,34,4392
Development,1,27,2786
Testing,3,21,661
Testing,6,46,1169
Development,7,31,2739
Analysis,6,23,1951
Validation,6,44,2905
Testing,9,48,979
Validation,5,17,1186
Development,1,46,592
Validation,7,46,3823
Development,4,45,4739
Analysis,1,9,1643
Development,9,46,1506
Analysis,7,49,2868
Analysis,8,7,4679
Validation,9,39,4777
Validation,6,38,4522
Validation,3,19,646
Analysis,8,30,553
Testing,9,46,2425
Testing,6,22,1347
Development,3,16,2780
Validation,6,22,1120
Analysis,2,33,2187
Analysis,8,44,2836
Analysis,6,24,4364
Development,7,32,3137
Validation,5,41,3347
Validation,1,47,2409
Testing,5,20,4758
Validation,5,5,879
Testing,8,7,2273
Development,7,42,4410
Development,2,29,1269
Testing,1,44,4464
Development,7,21,4833
Validation,7,40,2736
Testing,5,46,1709
Validation,7,15,3263
Validation,9,14,2381
Development,5,39,725
Development,5,25,2859
Analysis,2,34,4725
Testing,7,34,3923
Analysis,9,47,3616
Validation,6,17,2697
Validation,6,33,3421
Development,3,27,2303
Development,1,21,1505
Analysis,3,39,4449
Analysis,8,49,780
Development,9,25,2943
Testing,9,8,1597
Analysis,4,46,3225
Analysis,8,7,3145
Validation,6,8,2078
Validation,2,30,1366
Testing,5,27,4708
Development,9,6,2582
Development,6,35,1567
Validation,3,25,4615
Development,6,42,1245
Testing,2,31,3056
Testing,6,7,4716
Development,2,12,4922
Development,8,33,4123
Validation,6,15,4186
Testing,1,29,715
Validation,3,38,2054
Validation,3,42,2398
Validation,7,5,4942
Testing,1,30,2415
Validation,1,15,2285
Validation,1,36,3562
Development,6,41,1121
Testing,7,28,4542
Development,9,38,2183
Analysis,2,29,3120
Analysis,7,12,897
Testing,7,18,2049
Development,4,6,3298
Testing,9,5,3215
Testing,1,39,560
Validation,1,41,2260
Validation,2,44,4273
Development,2,22,4856
Validation,4,15,2934
Development,5,31,517
Validation,3,32,2734
Testing,4,10,2685
Development,7,13,3910
Testing,3,46,900
Development,2,16,1536
Analysis,5,14,2438
Testing,6,47,4613
Development,3,20,3720
Validation,5,25,2810
Validation,8,17,3901
Analysis,6,6,4911
Validation,1,48,1620
Analysis,3,15,2128
Analysis,7,18,1551
Testing,1,45,1745
Development,7,31,1280
Development,8,11,644
Validation,1,46,1078
Testing,1,38,2787
Analysis,6,38,4068
Analysis,1,30,1032
Validation,4,40,4001
Validation,8,23,2249
Testing,7,32,2217
Testing,1,37,1807
Analysis,1,13,3337
Testing,7,19,848
Testing,7,16,2206
Testing,6,20,3053
Testing,8,22,3512
Validation,9,8,2945
Development,2,16,2803
Analysis,5,47,2659
Development,3,11,4289
Validation,5,33,1346
Validation,2,10,2962
Analysis,2,28,4725
Development,1,12,501
Testing,8,42,2692
Testing,9,35,4522
Analysis,1,22,1102
Testing,7,40,3309
Development,3,38,4954
Analysis,1,10,3316
Development,1,31,4818
Development,6,24,2038
Analysis,3,8,1096
Validation,4,37,2901
Validation,7,21,2749
Development,1,49,2442
Testing,6,15,906
Analysis,9,26,3003
Validation,4,9,2788
Analysis,2,17,542
Analysis,4,7,1441
Testing,3,49,3162
Analysis,3,5,3398
Validation,6,8,1374
Development,8,5,4210
Testing,6,11,4136
Testing,1,22,2330
Validation,9,22,4072
Development,2,45,509
Development,2,25,1908
Analysis,9,14,2204
Validation,6,6,4808
Analysis,9,13,3797
Testing,1,37,1451
Development,2,20,1882
Testing,8,48,4824
Analysis,5,7,2184
Analysis,9,14,1008
Validation,9,43,3427
Testing,4,16,1871
Development,4,43,1573
Validation,7,32,1829
Development,4,32,1973
Testing,1,17,2270
Development,4,47,3220
Validation,6,39,3599
Validation,8,6,1536
Analysis,4,12,1782
Testing,9,20,4234
Analysis,6,6,2446
Development,1,45,4342
Analysis,6,12,3455
Testing,1,15,4869
Testing,1,11,1675
Development,6,15,3391
Testing,7,33,4572
Analysis,2,6,1767
Development,5,29,1545
Development,3,40,2129
Testing,2,13,3023
Validation,9,18,2162
Testing,1,12,4218
Testing,5,28,4296
Testing,9,22,3049
Analysis,3,10,3497
Validation,2,43,3741
Development,8,38,3682
Testing,4,47,4614
Testing,7,49,1564
Validation,7,15,3298
Testing,8,36,3171
Analysis,6,34,3122
Validation,4,32,4108
Development,8,11,1253
Analysis,9,34,1107
Validation,8,46,942
Analysis,5,47,2080
Development,7,24,3431
Testing,1,19,2289
Analysis,5,35,4105
Testing,8,17,1685
Testing,6,16,3277
Development,8,29,1434
Testing,1,26,4809
Validation,8,23,4790
Development,9,48,1163
Testing,1,16,3905
Analysis,4,31,1104
Validation,3,10,4775
Development,9,8,1286
Development,8,15,4413
Analysis,3,33,1991
Development,5,49,630
Development,4,39,3582
Analysis,1,46,1776
Testing,7,5,2282
Analysis,5,44,3163
Testing,3,14,2889
Validation,1,47,2356
Testing,5,37,3668
Development,4,9,4756
Development,1,5,544
Analysis,5,44,2860
Development,1,41,2179
Analysis,3,32,549
Analysis,2,41,3727
Analysis,9,38,1301
Development,9,16,3837
Validation,8,37,1577
Development,3,49,4514
Development,6,7,4752
Testing,9,27,2222
Analysis,5,18,1864
Analysis,3,40,1971
Validation,8,31,4512
Development,7,38,2209
Analysis,8,26,666
Analysis,1,27,1573
Validation,3,33,4583
Analysis,6,15,1254
Analysis,9,9,4741
Development,5,13,3049
Analysis,4,45,4933
Validation,9,46,4716
Analysis,4,39,1833
Analysis,8,13,1459
Testing,4,28,757
Analysis,3,18,2792
Testing,3,26,1142
Testing,9,29,1071
Validation,1,10,2749
Validation,2,23,1506
Validation,1,19,1154
Development,6,36,1573
Validation,9,36,1157
Analysis,6,44,4370
Analysis,1,33,3759
Development,6,43,4676
Analysis,3,17,639
Analysis,8,40,3789
Analysis,4,34,1153
Validation,5,16,1601
Development,9,35,4972
Analysis,5,19,4135
Validation,4,29,514
Analysis,8,25,2072
Testing,2,11,4143
Analysis,6,49,2711
Testing,6,44,2659
Development,3,23,3904
Development,2,18,670
Validation,7,29,3260
Validation,8,28,2125
Validation,8,17,1199
Validation,3,28,2036
Development,7,22,1554
Analysis,7,6,3348
Analysis,7,35,4662
Testing,7,9,3299
Validation,7,36,4572
Validation,6,5,3374
Development,4,19,4503
Validation,7,35,2508
Testing,6,24,4337
Development,1,37,2290
Development,2,20,4632
Analysis,1,25,1041
Development,5,12,881
Validation,3,37,591
Development,4,13,2577
Testing,5,14,3268
Validation,8,22,3053
Validation,6,16,3420
Validation,1,32,1396
Validation,6,32,3400
Validation,2,7,4495
Validation,4,6,970
Analysis,9,9,3191
Testing,2,31,4211
Development,5,32,956
Testing,8,20,2080
Development,1,17,3262
Testing,6,21,2472
Development,9,34,2103
Testing,3,26,2733
Testing,3,25,4405
Analysis,2,5,2670
Testing,2,38,1366
Validation,1,29,3042
Testing,7,49,4614
Development,4,19,2590
Validation,2,17,4881
Testing,8,21,3153
Analysis,7,32,3594
Analysis,6,15,4226
Analysis,6,34,1256
Development,5,42,1200
Analysis,4,27,545
Analysis,8,20,859
Development,9,49,3405
Development,6,48,3533
Development,3,47,3630
Development,8,21,3051
Development,8,8,2038
Development,3,34,4007
Analysis,3,34,2098
Development,8,6,4757
Validation,8,26,2970
Testing,9,32,3119
Validation,7,28,1686
Development,3,36,1588
Testing,9,36,4827
Validation,9,35,3115
Testing,3,12,3169
Validation,1,17,3680
Testing,9,40,1188
Development,9,8,3315
Validation,6,7,4736
Testing,7,17,4553
Development,6,43,4306
Analysis,5,21,2818
Validation,8,22,4635
Analysis,5,19,976
Development,2,11,3624
Development,4,37,2141
Analysis,7,16,1535
Testing,7,10,915
Development,4,14,1486
Development,4,31,4002
Testing,4,21,3883
Development,4,40,3323
Validation,7,33,4989
Validation,5,24,4943
Validation,1,24,4632
Testing,7,32,1536
Analysis,6,33,2513
Development,4,24,3353
Analysis,4,48,4171
Development,1,34,2764
Validation,3,31,2521
Development,7,28,4847
Development,7,10,3801
Analysis,6,44,3287
Analysis,7,8,1751
Testing,1,28,2483
Testing,3,43,3652
Testing,6,12,3927
Testing,3,31,1705
Development,2,27,4334
Validation,1,26,4908
Development,1,44,4519
Analysis,9,15,1093
Analysis,3,27,2719
Analysis,3,41,3613
Testing,4,21,4634
Validation,6,23,1955
Analysis,9,10,1287
Testing,5,17,2226
Development,7,46,2782
Development,8,30,4530
Validation,2,13,1212
Analysis,2,6,4729
Development,8,49,4780
Development,6,22,1018
Testing,7,10,1063
Validation,1,5,4933
Analysis,3,20,4806
Testing,7,46,570
Validation,4,35,827
Development,7,33,3682
Development,6,25,2789
